id,sid,sex,cycle,childs,childbirth,dob,deadwood_days,pregancy_days,group_id,group_past,event,milking_days,date,remark
1064,1064,F,1,FA,1,1/8/2020,0,0,9,9,ОСЕМЕН,236,7/1/2022,1H15132
1064,1064,F,1,FA,1,1/8/2020,0,0,9,9,НА_СХЕМУ,236,7/1/2022,9
1185,1185,F,1,FA,1,1/20/2020,0,49,9,43,ОСЕМЕН,213,7/1/2022,1H15184
1185,1185,F,1,FA,1,1/20/2020,0,49,9,43,НА_СХЕМУ,213,7/1/2022,9
1260,1260,F,1,FA,1,1/27/2020,0,49,5,5,НА_СХЕМУ,205,7/1/2022,9
1260,1260,F,1,FA,1,1/27/2020,0,49,5,5,ОСЕМЕН,205,7/1/2022,1H15184
2034,2034,F,1,FA,1,2/4/2020,0,49,5,5,НА_СХЕМУ,231,7/1/2022,9
2034,2034,F,1,FA,1,2/4/2020,0,49,5,5,ОСЕМЕН,231,7/1/2022,1H15132
2121,2121,F,1,FA,1,2/11/2020,0,0,8,8,НА_СХЕМУ,241,7/1/2022,9
2143,2143,F,1,FA,3,2/13/2020,0,0,5,12,ОСЕМЕН,230,7/1/2022,1H15132
2143,2143,F,1,FA,3,2/13/2020,0,0,5,12,НА_СХЕМУ,230,7/1/2022,9
2198,2198,F,1,FA,1,2/19/2020,0,70,12,7,ЗДОРОВА,193,7/1/2022,ХРОМОТА
2295,2295,F,1,FA,1,2/27/2020,0,0,8,12,ОСЕМЕН,213,7/1/2022,1H15132
2295,2295,F,1,FA,1,2/27/2020,0,0,8,12,НА_СХЕМУ,213,7/1/2022,9
3038,3038,F,1,FA,1,3/3/2020,0,49,8,9,ОСЕМЕН,168,7/1/2022,1H15132
3038,3038,F,1,FA,1,3/3/2020,0,49,8,9,НА_СХЕМУ,168,7/1/2022,9
3085,3085,F,1,FA,1,3/6/2020,0,77,12,12,ЗДОРОВА,199,7/1/2022,ХРОМОТА
3297,3297,F,1,FD,3,3/25/2020,0,50,9,8,НА_СХЕМУ,95,7/1/2022,9
3297,3297,F,1,FD,3,3/25/2020,0,50,8,8,ПЕРЕВОД,95,7/1/2022,F008T009
4002,4002,F,1,FD,1,4/1/2020,0,0,8,8,НА_СХЕМУ,59,7/1/2022,13
4002,4002,F,1,FD,1,4/1/2020,0,0,8,8,ОСЕМЕН,59,7/1/2022,501H14018
4045,4045,F,1,FA,1,4/8/2020,0,0,8,8,ОСЕМЕН,142,7/1/2022,1H15184
4045,4045,F,1,FA,1,4/8/2020,0,0,8,8,НА_СХЕМУ,142,7/1/2022,9
4077,4077,F,1,FA,1,4/11/2020,0,49,9,2,ОСЕМЕН,138,7/1/2022,1H15184
4077,4077,F,1,FA,1,4/11/2020,0,49,9,2,НА_СХЕМУ,138,7/1/2022,9
4081,4081,F,1,FA,1,4/11/2020,0,0,8,9,НА_СХЕМУ,166,7/1/2022,9
4091,4091,F,1,FA,1,4/12/2020,0,49,9,9,ОСЕМЕН,167,7/1/2022,1H15132
4091,4091,F,1,FA,1,4/12/2020,0,49,9,9,НА_СХЕМУ,167,7/1/2022,9
4127,4127,F,1,FA,1,4/17/2020,0,0,9,10,НА_СХЕМУ,138,7/1/2022,9
